sample_type,repunit,collection,indiv,Ssa85,Ssa85.1,Ssa197,Ssa197.1,Oneu9,Oneu9.1,Ogo2,Ogo2.1,Sfo1,Sfo1.1,Omy301,Omy301.1,Str15,Str15.1,Str60,Str60.1,Str73,Str73.1,SsoSL417,SsoSL417.1,SsoSL438,SsoSL438.1
mixture,NA,ALL,14-BNT-F-30,113,115,133,137,198,200,234,248,133,139,76,106,219,225,99,103,144,150,192,192,108,112
mixture,NA,ALL,14-BNT-F-31,115,117,137,137,200,202,234,248,131,133,102,106,219,219,99,99,148,150,178,184,108,114
mixture,NA,ALL,14-BNT-F-32,115,117,129,133,202,202,236,236,135,139,104,106,219,223,99,99,148,148,184,190,108,110
mixture,NA,ALL,14-BNT-F-33,113,117,129,137,200,202,236,236,135,135,76,104,225,225,99,103,148,150,178,178,112,116
mixture,NA,ALL,14-BNT-F-34,113,115,137,137,198,200,234,248,133,135,106,106,219,225,103,103,150,150,178,192,112,116
mixture,NA,ALL,14-BNT-F-35,113,115,137,137,200,200,234,234,133,133,76,100,219,225,99,103,150,150,182,184,112,114
mixture,NA,ALL,14-BNT-F-36,113,117,137,137,200,202,234,248,133,135,76,76,219,219,99,99,150,150,178,178,114,114
mixture,NA,ALL,14-BNT-F-37,115,117,137,137,200,200,234,236,133,135,76,104,223,225,99,103,144,150,178,184,108,108
mixture,NA,ALL,14-BNT-F-38,115,117,133,137,200,202,236,248,119,135,76,106,219,221,99,99,148,150,178,190,108,112
mixture,NA,ALL,14-BNT-F-39,115,117,129,137,198,200,236,248,133,135,106,106,219,225,99,99,144,148,182,188,108,108
mixture,NA,ALL,14-BNT-F-40,115,117,137,137,202,202,236,236,131,135,76,104,219,219,99,99,150,150,178,184,108,112
mixture,NA,ALL,14-BNT-F-41,115,117,129,137,198,198,234,248,137,139,76,104,219,225,99,99,150,150,178,188,108,116
mixture,NA,ALL,14-BNT-F-43,115,117,137,137,198,200,226,236,135,139,104,106,225,225,99,99,144,150,178,188,108,108
mixture,NA,ALL,14-BNT-F-44,115,117,137,137,198,200,236,248,133,135,106,106,219,225,99,99,148,148,184,188,108,108
mixture,NA,ALL,14-BNT-L-01,115,117,137,137,200,200,234,234,133,139,104,106,219,225,99,103,150,150,178,190,108,114
mixture,NA,ALL,14-BNT-L-02,113,115,133,137,200,202,234,234,133,135,104,106,219,223,99,103,144,148,178,178,108,108
mixture,NA,ALL,14-BNT-L-03,113,115,137,137,200,200,236,236,119,131,102,106,219,219,99,99,148,150,178,190,108,110
mixture,NA,ALL,14-BNT-L-04,113,117,137,137,200,202,234,248,133,135,100,106,219,225,99,103,148,150,178,178,112,116
mixture,NA,ALL,14-BNT-L-05,113,115,129,137,200,200,236,248,131,135,106,106,219,225,99,99,144,148,178,188,108,114
mixture,NA,ALL,14-BNT-L-06,115,117,133,133,194,202,226,234,125,131,82,100,219,219,99,103,148,150,178,178,112,112
mixture,NA,ALL,14-BNT-L-07,115,117,129,137,198,202,234,234,133,135,102,106,219,225,99,103,144,148,188,192,108,112
mixture,NA,ALL,14-BNT-L-08,115,117,137,137,202,202,226,236,133,139,106,106,225,225,99,103,150,150,184,184,108,114
mixture,NA,ALL,14-BNT-L-09,113,115,129,137,198,200,236,236,129,133,76,104,219,219,99,103,148,150,184,192,108,112
mixture,NA,ALL,14-BNT-L-10,111,113,137,137,200,202,234,234,133,135,76,100,219,219,99,99,144,148,178,184,108,114
mixture,NA,ALL,14-BNT-L-11,115,117,129,137,198,198,234,236,131,139,106,106,219,225,99,99,144,150,178,188,108,114
